"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"18",-2,"IPW",-0.702020743885678,0.6468062736298,0.418358355606868,0.471531306381007,1.1940111869779,50,0.06468062736298
"19",2,"MLE",0.065760462394883,0.189281890271632,0.0358276339848021,0.258687051639813,0.280314164696939,100,0.0133842508166879
"20",1.5,"MLE",0.0355021840720563,0.140227829699266,0.0196638442221663,0.210837930633366,0.223914542016769,100,0.00991560492914231
"21",1,"MLE",0.0212675199171923,0.121444065249915,0.0147486609844256,0.177409473116594,0.186484815752659,100,0.00858739220730765
"22",0.5,"MLE",0.0171391021141658,0.113335547058283,0.0128449462270002,0.157377572708884,0.167855148831147,100,0.00801403338743989
"23",0,"MLE",0.00213142660362598,0.101376470914001,0.0102771888549772,0.147845347038572,0.155224454499404,100,0.00716839900360507
"24",-0.5,"MLE",-0.0081940905755259,0.0997836394265608,0.0099567746972099,0.151648701673261,0.15145542470953,100,0.00705576880899945
"25",-1,"MLE",-0.0210350054714809,0.11563137938221,0.0133706158978327,0.167365946982839,0.169463856692614,100,0.00817637324791153
"26",-1.5,"MLE",-0.0493615091166267,0.147960047516171,0.0218921756609875,0.208245198578796,0.217281629367695,100,0.0104623552943368
"27",-2,"MLE",-0.0734280339210066,0.17814658877632,0.0317362070926394,0.270296830885284,0.28790634029054,100,0.0125968660968987
